"","1_Exiqon_19715582_S01","1_Exiqon_19715583_S01","1_Exiqon_19715584_S01","1_Exiqon_19715585_S01","1_Exiqon_19715586_S01","1_Exiqon_19715588_S01","1_Exiqon_19715589_S01","1_Exiqon_19715590_S01","1_Exiqon_19715591_S01","1_Exiqon_19715592_S01","1_Exiqon_19715593_S01","1_Exiqon_19715594_S01","1_Exiqon_19715595_S01","1_Exiqon_19715597_S01","1_Exiqon_19715598_S01","1_Exiqon_19715599_S01","1_Exiqon_19715600_S01","1_Exiqon_19715602_S01","1_Exiqon_19715603_S01","1_Exiqon_19715607_S01","1_Exiqon_19715608_S01","1_Exiqon_19715609_S01","1_Exiqon_19715610_S01","1_Exiqon_19715611_S01","1_Exiqon_19715612_S01","1_Exiqon_19715613_S01","1_Exiqon_19715614_S01","1_Exiqon_19715615_S01","1_Exiqon_19715616_S01","1_Exiqon_19715617_S01","1_Exiqon_19715618_S01","1_Exiqon_19715619_S01","1_Exiqon_19715620_S01","1_Exiqon_19715621_S01","1_Exiqon_19715622_S01","1_Exiqon_19715625_S01"
"hsa-miR-4745-5p",6.32338975187794,6.33730156224225,6.39989967153708,6.39315463518628,6.35781035051163,6.43922342034908,6.43725112605638,6.41980006961725,6.40242135340404,6.51994550791255,6.39779819134615,6.39785906997265,6.38468011380767,6.47337424409163,6.40724972851112,6.41796358483454,6.36660319119173,6.40553156557005,6.37509370008546,6.37320134066116,6.44317340786444,6.42405063016675,6.43351286242865,6.43488208270105,6.44938289206971,6.42367291728245,6.37327245158309,6.40488221418643,6.48181816473967,6.46057410824479,6.5122425257947,6.56679534821946,6.4416025139866,6.44191025974366,6.46310890686,6.46161402174049
"hsa-miR-4746-3p",6.32164262930481,6.29250129371885,6.3129620746207,6.35588481023342,6.33456438361787,6.31298987235747,6.39848335625117,6.35950888403326,6.41275268103522,6.42672984127286,6.40309318710995,6.37588702225793,6.32352885971769,6.30445338252258,6.32032351454275,6.33220254107047,6.32718327117577,6.25042310345207,6.32981289106238,6.28976051759348,6.28302792588597,6.25905002781445,6.37181691968024,6.36536834690479,6.43900347444854,6.45727938111466,6.36375925633362,6.40245207361813,6.3639316560132,6.36999651632545,6.48970585824122,6.44704548560616,6.36832213825319,6.35272716465557,6.39054647763469,6.43714011557349
"hsa-miR-4746-5p",6.27341863642548,6.26875287909572,6.32779484076029,6.28814352586002,6.28048188686456,6.31000527203292,6.28712125133909,6.34111516674659,6.4365555024733,6.45900414825772,6.31289221789857,6.35231515200664,6.30390302160679,6.30907593828127,6.34221015463069,6.40447641876303,6.29427984821841,6.25143915531533,6.26119215217755,6.30194199521739,6.27602095533809,6.285962152482,6.29911539226708,6.34176805877643,6.43280278394874,6.49993663366443,6.33938844714948,6.44380592678999,6.37297715320222,6.41243828670267,6.53220742855082,6.40991825730863,6.40241206482979,6.39231290976332,6.39538989814366,6.42304824093763
"hsa-miR-4747-3p",6.3241801098275,6.37787718627449,6.41976656770137,6.42005171663335,6.36763434070126,6.39079855159888,6.49538377704439,6.47178193249718,6.44236102214969,6.49794538379037,6.41741859417555,6.47869870109186,6.36797564855282,6.32299923671001,6.49101911595059,6.43914037194868,6.44531532076016,6.29336792060445,6.43858614970665,6.41137674760304,6.37423588751652,6.30701027938721,6.34127904888295,6.55402624173936,6.45669241070818,6.42174115202671,6.37660616035234,6.41881365894927,6.4820791518986,6.47019300993103,6.54799836044871,6.52588146379965,6.46572159049902,6.46919702362483,6.46401136170522,6.45672017085779
"hsa-miR-4747-5p",8.98109603878926,8.85352311582624,8.48877701800193,8.69552258971433,9.66221914162847,9.24772706919702,8.9093215005269,8.7866968780162,8.94262200158071,9.20644596044527,8.92175953816573,9.16509787945799,8.98342541189525,8.740055483038,8.8536432902874,8.83308760041168,8.89975365417843,8.79784900865907,8.93108940073591,8.69319874167878,8.46208299120873,8.61806686363238,8.82710928440201,9.0105923554049,8.92808950586176,8.43626922528726,8.70392430244861,8.69746648375774,8.37812468325955,8.36306840460138,8.75514031183082,8.34939106056021,8.73365474852741,8.6683269891819,9.11096625513891,9.28480115031611
"hsa-miR-4748",6.37077777645166,6.4434481662242,6.4268224127135,6.47663144347204,6.43974665334533,6.51891998221915,6.49513899275701,6.48064242368337,6.52619116486312,6.4794313774064,6.5051118533914,6.49675839011936,6.43479458475016,6.47574022149423,6.51193806974229,6.53041203762776,6.44923812090019,6.4182297918067,6.43196170365658,6.41057288699989,6.45416084285833,6.46075129791712,6.55432715990204,6.43587606570573,6.5112568878616,6.46179179461724,6.50692183532863,6.48336039532101,6.4223717662447,6.48084914353508,6.5578391830207,6.52160496625598,6.4942327451122,6.5048052258889,6.50189836507915,6.47450298127564
"hsa-miR-4749-3p",6.46664017915148,6.52391699205465,6.50547451395777,6.518953574573,6.53054862519938,6.58841087685012,6.54423915366243,6.55742773327448,6.51686851493094,6.55789401030707,6.55404154929954,6.5393415087541,6.49257182950253,6.5373128283559,6.52937677681389,6.52711536622486,6.47951628420954,6.59658293948986,6.46389440229254,6.46345803185236,6.50756076154398,6.51042422735575,6.6087715935055,6.55337360901897,6.61809175101402,6.50991538129701,6.50604913627806,6.60574922999268,6.54241565680364,6.6082630427804,6.65508075699631,6.60606704487884,6.5820789079312,6.57159977693184,6.57137962889699,6.56700793273937
"hsa-miR-4749-5p",6.33606889903939,6.26855095381474,6.3434102941339,6.28556735446726,6.34139304569415,6.31322470669668,6.5589546481817,6.3588575926705,6.4179453946075,6.44265137675084,6.37699773905267,6.31578535856113,6.3383217997513,6.3645472807538,6.35893151533973,6.44532417417512,6.30726983428981,6.32082998490074,6.30583281784546,6.34504390591828,6.33481232873865,6.2925909853943,6.30605528710433,6.39387395060376,6.40635667231905,6.52161395124378,6.37594362875988,6.47161841497441,6.42385251196248,6.47506492944213,6.52377100819563,6.42925627217873,6.39228879641045,6.41189707932902,6.41256033814919,6.46701548590231
"hsa-miR-4750-5p",10.015796640114,10.2811380672425,9.10435287947202,9.99688186754123,10.8389533798952,10.607273880566,10.3177569682308,9.83470550099842,10.2159124511381,10.7305575729523,10.2429203048469,10.6370635954777,10.6556346953835,9.67305325232909,10.3753164193097,10.2575355422094,10.7995285251424,10.2040558019488,10.4373368528744,9.66730180201038,9.70379036383207,9.66995253364268,10.3616827749237,10.6271136137067,10.2725610607634,9.6370497179947,10.7372076565327,10.2504178496556,9.87188964119101,9.82831368060171,10.0082227824599,9.79892229747873,9.85207924022102,10.162306890931,10.2201604741701,10.8860040543545
"hsa-miR-4751",6.26279688412712,6.31320197817808,6.34237742822535,6.33888342450317,6.29519286105547,6.30695363380414,6.29537265291744,6.35685565283583,6.42609172002504,6.41472940049615,6.39830977730543,6.36705963277063,6.30626268294614,6.36302912404467,6.38214601370281,6.36005185092321,6.35373750278273,6.29393966260397,6.31432540935711,6.36061661688708,6.35829679733659,6.34044804698314,6.37506918592488,6.39788887977199,6.40653001848413,6.40231822208326,6.38101040142613,6.42772745420417,6.38439758365428,6.40434804864677,6.51244554484555,6.50665794313173,6.36925880955701,6.43402185348725,6.41563935210084,6.47142766216785
